COUNTRY,DEPARTMENT,SALESFORCE_CODE,HCP_ID,REP_ID,PRODUCT,INDICATION,TERRITORY_ID,LOAD_DT,EPH_REFERENCE_ID,EPH_ENTERPRISE_ID,ENHANCED_ENTERPRISE_ID
JP,RETAIL,JPHY,ENTID_12690421,00580000004M3V4AAK,JP_708127-420004,,JP65766,2025-11-03,ENTID_12690421,ENTID_130416593,ENTID_130416593
JP,RETAIL,JPHY,ENTID_12710396,00580000006YILAAA4,JP_708127-420004,,JP65960,2025-11-03,ENTID_12710396,ENTID_130436691,ENTID_130436691
JP,RETAIL,JPHY,ENTID_95525432,00580000004M36QAAS,JP_708127-420004,,JP66070,2025-11-03,ENTID_95525432,ENTID_130569683,ENTID_130569683
JP,RETAIL,JPCL,ENTID_12467551,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_12467551,ENTID_130194192,ENTID_130194192
JP,RETAIL,JPHY,ENTID_14187462,00580000004M3HbAAK,JP_708127-420004,,JP65962,2025-11-03,ENTID_14187462,ENTID_132365384,
JP,RETAIL,JPHY,ENTID_12986798,00580000004MHFkAAO,JP_708127-420004,,JP66071,2025-11-03,ENTID_12986798,ENTID_130764717,ENTID_130764717
JP,RETAIL,JPHY,ENTID_128296919,00580000004M3W1AAK,JP_708127-420004,,JP65874,2025-11-03,ENTID_128296919,ENTID_131215201,
JP,RETAIL,JPHY,ENTID_14021616,00580000004M3JtAAK,JP_708127-420004,,JP65952,2025-11-03,ENTID_14021616,ENTID_132155126,
JP,RETAIL,JPHY,ENTID_12489340,00580000006a3JvAAI,JP_708127-420004,,JP65958,2025-11-03,ENTID_12489340,ENTID_130212408,ENTID_130212408
JP,RETAIL,JPHY,ENTID_12615475,00580000004M3QcAAK,JP_708127-420004,,JP65850,2025-11-03,ENTID_12615475,ENTID_130342155,ENTID_130342155
JP,RETAIL,JPCL,ENTID_12700073,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_12700073,ENTID_130426200,ENTID_130426200
JP,RETAIL,JPHY,ENTID_13638184,005VS0000017OomYAE,JP_708127-420004,,JP66297,2025-11-03,ENTID_13638184,ENTID_131662404,
JP,RETAIL,JPCL,ENTID_12650561,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_12650561,ENTID_130376557,ENTID_130376557
JP,RETAIL,JPCL,ENTID_13835785,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_13835785,ENTID_131915153,
JP,RETAIL,JPCL,ENTID_13717647,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_13717647,ENTID_131767397,
JP,RETAIL,JPCL,ENTID_113853043,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_113853043,ENTID_131197676,
JP,RETAIL,JPHY,ENTID_97645734,0053x00000IINQYAA5,JP_708127-420004,,JP65873,2025-11-03,ENTID_97645734,ENTID_130576885,ENTID_130576885
JP,RETAIL,JPCL,ENTID_105256799,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_105256799,ENTID_131206254,
JP,RETAIL,JPHY,ENTID_13561266,00580000004M347AAC,JP_708127-420004,,JP65767,2025-11-03,ENTID_13561266,ENTID_131568378,
