customer_id,apims_id,product_name,product_indication_id,src_systm_cd,dgtl_dtl_only_id,activity_date,action
ENTID_105456406,708127,EBG,420004,M3,202505261122876119,2025-05-28,Opened
ENTID_105456850,708127,EBG,420004,M3,202502211644303853,2025-02-25,Delivered
ENTID_105457313,708127,EBG,420004,M3,202412021247965962,2024-12-03,Opened
ENTID_105457313,708127,EBG,420004,M3,202501201225435304,2025-01-21,Opened
ENTID_105457321,708127,EBG,420004,M3,202507141032570225,2025-07-14,Delivered
ENTID_105458303,708127,EBG,420004,M3,202509161009113343,2025-09-16,Clicked
ENTID_105458358,708127,EBG,420004,M3,202503251123922775,2025-06-22,Opened
ENTID_105458480,708127,EBG,420004,M3,202508181041696066,2025-08-18,Delivered
ENTID_105458538,708127,EBG,420004,M3,202509031229744215,2025-09-04,Delivered
ENTID_105458570,708127,EBG,420004,M3,202507101140737738,2025-07-10,Delivered
ENTID_105458607,708127,EBG,420004,M3,202508011141989902,2025-08-05,Clicked
ENTID_105460090,708127,EBG,420004,M3,202508181041696093,2025-08-18,Opened
ENTID_105461026,708127,EBG,420004,M3,202502061422888692,2025-02-06,Delivered
ENTID_105461673,708127,EBG,420004,M3,202503031540410114,2025-03-24,Clicked
ENTID_105462870,708127,EBG,420004,M3,202507221233481727,2025-07-22,Delivered
ENTID_105463095,708127,EBG,420004,M3,202510201035622053,2025-11-02,Opened
ENTID_105534357,708127,EBG,420004,M3,202504011040392651,2025-04-01,Delivered
ENTID_105740472,708127,EBG,420004,M3,202508181041696709,2025-10-18,Opened
ENTID_105834677,708127,EBG,420004,M3,202510060958963091,2025-10-06,Delivered
ENTID_106033680,708127,EBG,420004,M3,202501171455520680,2025-01-17,Delivered
ENTID_106033680,708127,EBG,420004,M3,202505261122877449,2025-05-26,Delivered
ENTID_106175730,708127,EBG,420004,M3,202506161635931896,2025-06-17,Delivered
ENTID_108609166,708127,EBG,420004,M3,202505191058983293,2025-05-19,Clicked
ENTID_108609629,708127,EBG,420004,M3,202502211644305477,2025-02-25,Clicked
ENTID_108610119,708127,EBG,420004,M3,202501201225437793,2025-01-21,Opened
ENTID_108610275,708127,EBG,420004,M3,202508181041696672,2025-08-19,Clicked
ENTID_108610673,708127,EBG,420004,M3,202503251123919857,2025-03-25,Delivered
