conference_id,customer_id,product_id,indication_id,channel,action,ACTVY_STRT_DT
VEM-JP-2727,ENTID_12583211,708127,420004,National(P2P),Attended,2025-04-20
VEM-JP-4244,ENTID_12690926,708127,420004,National(Web),Attended,2024-11-28
VEM-JP-15083,ENTID_12624533,708127,420004,National(Web),Attended,2025-08-26
VEM-JP-7008,ENTID_12642537,708127,420004,National(Web),Attended,2025-01-22
VEM-JP-7009,ENTID_12742741,708127,420004,National(Web),Attended,2025-01-22
VEM-JP-6160,ENTID_12446468,708127,420004,National(Web),Attended,2024-12-23
VEM-JP-8358,ENTID_12764240,708127,420004,National(Web),Attended,2025-04-16
VEM-JP-11050,ENTID_12536735,708127,420004,National(Web),Attended,2025-03-21
VEM-JP-11078,ENTID_12630202,708127,420004,National(Web),Attended,2025-05-23
VEM-JP-11051,ENTID_12574595,708127,420004,National(Web),Attended,2025-03-21
VEM-JP-8317,ENTID_12582138,708127,420004,National(Web),Attended,2025-02-03
VEM-JP-15708,ENTID_12559915,708127,420004,National(Web),Attended,2025-08-05
VEM-JP-11665,ENTID_12780807,708127,420004,National(Web),Attended,2025-04-21
VEM-JP-9387,ENTID_12683700,708127,420004,National(Web),Attended,2025-05-14
VEM-JP-11078,ENTID_12496272,708127,420004,National(Web),Attended,2025-05-23
VEM-JP-13676,ENTID_12671321,708127,420004,National(Web),Attended,2025-06-26
VEM-JP-11052,ENTID_12703002,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-15078,ENTID_12680643,708127,420004,National(Web),Attended,2025-07-15
VEM-JP-9414,ENTID_12435190,708127,420004,National(P2P),Attended,2025-06-15
VEM-JP-10214,ENTID_12765618,708127,420004,National(Web),Attended,2025-03-06
VEM-JP-11125,ENTID_12449998,708127,420004,National(Web),Attended,2025-03-11
VEM-JP-11665,ENTID_12625106,708127,420004,National(Web),Attended,2025-04-21
VEM-JP-11076,ENTID_12525749,708127,420004,National(Web),Attended,2025-05-23
VEM-JP-15078,ENTID_12518796,708127,420004,National(Web),Attended,2025-07-15
VEM-JP-8210,ENTID_12615343,708127,420004,National(P2P),Attended,2025-06-29
VEM-JP-12413,ENTID_12440855,708127,420004,National(Web),Attended,2025-10-02
VEM-JP-12413,ENTID_106007829,708127,420004,National(Web),Attended,2025-10-02
VEM-JP-11127,ENTID_12482703,708127,420004,National(Web),Attended,2025-03-11
VEM-JP-11417,ENTID_12494249,708127,420004,National(Web),Attended,2025-04-10
VEM-JP-2727,ENTID_12769333,708127,420004,National(P2P),Attended,2025-04-20
VEM-JP-11127,ENTID_12526892,708127,420004,National(Web),Attended,2025-03-11
VEM-JP-7887,ENTID_12698854,708127,420004,National(Web),Attended,2025-01-17
VEM-JP-7889,ENTID_12791233,708127,420004,National(Web),Attended,2025-02-25
VEM-JP-11478,ENTID_12729414,708127,420004,National(Web),Attended,2025-04-07
VEM-JP-4298,ENTID_12497787,708127,420004,National(Web),Attended,2024-12-10
VEM-JP-11878,ENTID_95525057,708127,420004,National(Web),Attended,2025-05-09
VEM-JP-11076,ENTID_12600765,708127,420004,National(Web),Attended,2025-05-23
VEM-JP-11417,ENTID_12709928,708127,420004,National(Web),Attended,2025-04-10
VEM-JP-9414,ENTID_12489482,708127,420004,National(P2P),Attended,2025-06-15
VEM-JP-15085,ENTID_12475015,708127,420004,National(Web),Attended,2025-09-12
VEM-JP-3109,ENTID_12644766,708127,420004,National(P2P),Attended,2024-12-15
VEM-JP-7893,ENTID_12740980,708127,420004,National(Web),Attended,2025-02-25
VEM-JP-15085,ENTID_12761366,708127,420004,National(Web),Attended,2025-09-12
VEM-JP-11665,ENTID_12783111,708127,420004,National(Web),Attended,2025-04-21
VEM-JP-8210,ENTID_12627528,708127,420004,National(P2P),Attended,2025-06-29
VEM-JP-11125,ENTID_12523172,708127,420004,National(Web),Attended,2025-03-11
VEM-JP-11665,ENTID_12677294,708127,420004,National(Web),Attended,2025-04-21
VEM-JP-10353,ENTID_12680990,708127,420004,National(Web),Attended,2025-03-25
VEM-JP-11078,ENTID_12611808,708127,420004,National(Web),Attended,2025-05-23
VEM-JP-11127,ENTID_12604327,708127,420004,National(Web),Attended,2025-03-11
VEM-JP-9414,ENTID_12687602,708127,420004,National(P2P),Attended,2025-06-15
VEM-JP-7893,ENTID_12541494,708127,420004,National(Web),Attended,2025-02-25
VEM-JP-2727,ENTID_12494752,708127,420004,National(P2P),Attended,2025-04-20
VEM-JP-15708,ENTID_12444381,708127,420004,National(Web),Attended,2025-08-05
VEM-JP-11052,ENTID_12645341,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-7887,ENTID_12634488,708127,420004,National(Web),Attended,2025-01-17
VEM-JP-11417,ENTID_12486423,708127,420004,National(Web),Attended,2025-04-10
VEM-JP-11417,ENTID_12461694,708127,420004,National(Web),Attended,2025-04-10
VEM-JP-11051,ENTID_12487626,708127,420004,National(Web),Attended,2025-03-21
VEM-JP-8210,ENTID_12732085,708127,420004,National(P2P),Attended,2025-06-29
VEM-JP-8208,ENTID_105458042,708127,420004,National(P2P),Attended,2025-06-15
VEM-JP-7889,ENTID_12740777,708127,420004,National(Web),Attended,2025-02-25
VEM-JP-11417,ENTID_12735164,708127,420004,National(Web),Attended,2025-04-10
VEM-JP-9388,ENTID_12465565,708127,420004,National(Web),Attended,2025-05-14
VEM-JP-3109,ENTID_12800317,708127,420004,National(P2P),Attended,2024-12-15
VEM-JP-15083,ENTID_12599548,708127,420004,National(Web),Attended,2025-08-26
VEM-JP-7008,ENTID_12581992,708127,420004,National(Web),Attended,2025-01-22
VEM-JP-11053,ENTID_12588328,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-7009,ENTID_12725208,708127,420004,National(Web),Attended,2025-01-22
VEM-JP-15085,ENTID_12485886,708127,420004,National(Web),Attended,2025-09-12
VEM-JP-11052,ENTID_12779200,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-7009,ENTID_12585924,708127,420004,National(Web),Attended,2025-01-22
VEM-JP-8357,ENTID_12687918,708127,420004,National(Web),Attended,2025-04-16
VEM-JP-2727,ENTID_12784998,708127,420004,National(P2P),Attended,2025-04-20
VEM-JP-9387,ENTID_12754590,708127,420004,National(Web),Attended,2025-05-14
VEM-JP-13126,ENTID_12653892,708127,420004,National(Web),Attended,2025-06-25
VEM-JP-15593,ENTID_12686044,708127,420004,National(Web),Attended,2025-10-06
VEM-JP-9414,ENTID_12584166,708127,420004,National(P2P),Attended,2025-06-15
VEM-JP-11878,ENTID_12755696,708127,420004,National(Web),Attended,2025-05-09
VEM-JP-2727,ENTID_12725947,708127,420004,National(P2P),Attended,2025-04-20
VEM-JP-7008,ENTID_12613864,708127,420004,National(Web),Attended,2025-01-22
VEM-JP-11478,ENTID_12800206,708127,420004,National(Web),Attended,2025-04-07
VEM-JP-7885,ENTID_12476877,708127,420004,National(Web),Attended,2025-01-17
VEM-JP-11053,ENTID_12488855,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-13676,ENTID_12675799,708127,420004,National(Web),Attended,2025-06-26
VEM-JP-11379,ENTID_12432923,708127,420004,National(Web),Attended,2025-06-12
VEM-JP-15085,ENTID_12565234,708127,420004,National(Web),Attended,2025-09-12
VEM-JP-7893,ENTID_12424106,708127,420004,National(Web),Attended,2025-02-25
VEM-JP-4244,ENTID_20030397,708127,420004,National(Web),Attended,2024-11-28
VEM-JP-10214,ENTID_12727648,708127,420004,National(Web),Attended,2025-03-06
VEM-JP-16139,ENTID_12591443,708127,420004,National(Web),Attended,2025-10-23
VEM-JP-4298,ENTID_12595670,708127,420004,National(Web),Attended,2024-12-10
VEM-JP-8869,ENTID_12721405,708127,420004,National(Web),Attended,2025-02-03
VEM-JP-11878,ENTID_12611211,708127,420004,National(Web),Attended,2025-05-09
VEM-JP-4298,ENTID_12681557,708127,420004,National(Web),Attended,2024-12-10
VEM-JP-7746,ENTID_12427444,708127,420004,National(P2P),Attended,2025-08-24
VEM-JP-12413,ENTID_12721824,708127,420004,National(Web),Attended,2025-10-02
VEM-JP-15085,ENTID_12719303,708127,420004,National(Web),Attended,2025-09-12
VEM-JP-16139,ENTID_12584166,708127,420004,National(Web),Attended,2025-10-23
VEM-JP-13126,ENTID_12686102,708127,420004,National(Web),Attended,2025-06-25
VEM-JP-11053,ENTID_12460174,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-12413,ENTID_95525808,708127,420004,National(Web),Attended,2025-10-02
VEM-JP-8208,ENTID_12581009,708127,420004,National(P2P),Attended,2025-06-15
VEM-JP-10214,ENTID_12657045,708127,420004,National(Web),Attended,2025-03-06
