activity_date,customer_id,product_id,sevc_id,action,yrmoda
2025-08-05,ENTID_12584584,JP_708127-420004,a30VS000009PBSvYAO,Opened,2025-08-05
2025-08-26,ENTID_12584584,JP_708127-420004,a30VS000009ifDZYAY,Delivered,2025-08-26
2025-08-26,ENTID_12584584,JP_708127-420004,a30VS000009ifDZYAY,Opened,2025-08-26
2025-05-06,ENTID_12585989,JP_708127-420004,a30VS0000083rrBYAQ,Delivered,2025-05-06
2025-05-01,ENTID_12586408,JP_708127-420004,a30VS000007zllxYAA,Delivered,2025-05-01
2025-05-01,ENTID_12587879,JP_708127-420004,a30VS000007zlHJYAY,Delivered,2025-05-01
2025-05-01,ENTID_12587879,JP_708127-420004,a30VS000007zlHJYAY,Opened,2025-05-01
2025-06-04,ENTID_12588359,JP_708127-420004,a30VS000008Uk2QYAS,Delivered,2025-06-04
2025-06-05,ENTID_12588359,JP_708127-420004,a30VS000008Uk2QYAS,Opened,2025-06-05
2025-05-02,ENTID_12588807,JP_708127-420004,a30VS0000080SNuYAM,Delivered,2025-05-02
2025-05-02,ENTID_12588807,JP_708127-420004,a30VS0000080SNuYAM,Opened,2025-05-02
2025-05-06,ENTID_12589304,JP_708127-420004,a30VS0000083s7JYAQ,Delivered,2025-05-06
2025-05-06,ENTID_12589304,JP_708127-420004,a30VS0000083s7JYAQ,Opened,2025-05-06
2025-05-01,ENTID_12592097,JP_708127-420004,a30VS000007zlfVYAQ,Delivered,2025-05-01
2025-05-01,ENTID_12592097,JP_708127-420004,a30VS000007zlfVYAQ,Opened,2025-05-01
2025-05-01,ENTID_12598319,JP_708127-420004,a30VS000007zgv7YAA,Delivered,2025-05-01
2025-05-06,ENTID_12602483,JP_708127-420004,a30VS0000083rJKYAY,Delivered,2025-05-06
2025-05-06,ENTID_12602483,JP_708127-420004,a30VS0000083rJKYAY,Opened,2025-05-06
2025-06-26,ENTID_12603210,JP_708127-420004,a30VS000008oZXSYA2,Delivered,2025-06-26
2025-06-26,ENTID_12603210,JP_708127-420004,a30VS000008oZXSYA2,Opened,2025-06-26
2025-07-15,ENTID_12603210,JP_708127-420004,a30VS0000095gMPYAY,Delivered,2025-07-15
2025-07-15,ENTID_12603210,JP_708127-420004,a30VS0000095gMPYAY,Opened,2025-07-15
2025-08-04,ENTID_12603210,JP_708127-420004,a30VS000009PBpVYAW,Delivered,2025-08-04
2025-08-05,ENTID_12603210,JP_708127-420004,a30VS000009PBpVYAW,Opened,2025-08-05
2025-09-11,ENTID_12603210,JP_708127-420004,a30VS00000A0dDLYAZ,Delivered,2025-09-11
2025-09-12,ENTID_12603210,JP_708127-420004,a30VS00000A0dDLYAZ,Opened,2025-09-12
2025-05-01,ENTID_12603548,JP_708127-420004,a30VS000007zee5YAA,Delivered,2025-05-01
2025-05-01,ENTID_12603548,JP_708127-420004,a30VS000007zee5YAA,Opened,2025-05-01
2025-05-01,ENTID_12606259,JP_708127-420004,a30VS000007zkLFYAY,Clicked,2025-05-01
2025-05-01,ENTID_12606259,JP_708127-420004,a30VS000007zkLFYAY,Delivered,2025-05-01
2025-05-01,ENTID_12606259,JP_708127-420004,a30VS000007zkLFYAY,Opened,2025-05-01
2025-08-24,ENTID_12606259,JP_708127-420004,a30VS000009gtXZYAY,Delivered,2025-08-24
2025-06-04,ENTID_12609664,JP_708127-420004,a30VS000008UjHfYAK,Delivered,2025-06-04
2025-06-04,ENTID_12609701,JP_708127-420004,a30VS000008UoXRYA0,Delivered,2025-06-04
2025-06-04,ENTID_12609701,JP_708127-420004,a30VS000008UoXRYA0,Opened,2025-06-04
2025-05-06,ENTID_12610761,JP_708127-420004,a30VS0000083s2UYAQ,Delivered,2025-05-06
2025-05-06,ENTID_12610761,JP_708127-420004,a30VS0000083s2UYAQ,Opened,2025-05-06
2025-04-07,ENTID_12611469,JP_708127-420004,a30VS000007fBhpYAE,Delivered,2025-04-07
2025-04-16,ENTID_12611469,JP_708127-420004,a30VS000007mZqfYAE,Delivered,2025-04-16
2025-09-12,ENTID_12614125,JP_708127-420004,a30VS00000A10eXYAR,Delivered,2025-09-12
2025-09-12,ENTID_12614125,JP_708127-420004,a30VS00000A10eXYAR,Opened,2025-09-12
2025-05-07,ENTID_12619913,JP_708127-420004,a30VS0000084thFYAQ,Delivered,2025-05-07
2025-07-13,ENTID_12623876,JP_708127-420004,a30VS0000094CAJYA2,Delivered,2025-07-13
2025-07-15,ENTID_12623876,JP_708127-420004,a30VS0000094CAJYA2,Opened,2025-07-15
2025-07-27,ENTID_12623876,JP_708127-420004,a30VS000009HaUvYAK,Delivered,2025-07-27
2025-07-28,ENTID_12623876,JP_708127-420004,a30VS000009HaUvYAK,Opened,2025-07-28
2025-06-05,ENTID_12626360,JP_708127-420004,a30VS000008W0MrYAK,Delivered,2025-06-05
2025-06-05,ENTID_12626360,JP_708127-420004,a30VS000008W0MrYAK,Opened,2025-06-05
2025-07-27,ENTID_12626370,JP_708127-420004,a30VS000009HaWXYA0,Delivered,2025-07-27
2025-07-31,ENTID_12626370,JP_708127-420004,a30VS000009HaWXYA0,Opened,2025-07-31
2025-06-26,ENTID_12627056,JP_708127-420004,a30VS000008oa26YAA,Delivered,2025-06-26
2025-07-15,ENTID_12627056,JP_708127-420004,a30VS0000095gPdYAI,Delivered,2025-07-15
2025-08-04,ENTID_12627056,JP_708127-420004,a30VS000009PBsjYAG,Delivered,2025-08-04
2025-08-26,ENTID_12627056,JP_708127-420004,a30VS000009ifS5YAI,Delivered,2025-08-26
2025-09-11,ENTID_12627056,JP_708127-420004,a30VS00000A0iL3YAJ,Delivered,2025-09-11
2025-05-01,ENTID_12627106,JP_708127-420004,a30VS000007zl4PYAQ,Delivered,2025-05-01
2025-09-11,ENTID_12627917,JP_708127-420004,a30VS000009zrjlYAA,Delivered,2025-09-11
2025-09-11,ENTID_12627917,JP_708127-420004,a30VS000009zrjlYAA,Opened,2025-09-11
2025-09-11,ENTID_12627917,JP_708127-420004,a30VS00000A0bt3YAB,Delivered,2025-09-11
2025-05-18,ENTID_12629322,JP_708127-420004,a30VS000005qRNpYAM,Opened,2025-05-18
2025-06-29,ENTID_12629322,JP_708127-420004,a30VS0000063qD7YAI,Opened,2025-06-29
2025-06-29,ENTID_12629322,JP_708127-420004,a30VS00000701UjYAI,Clicked,2025-06-29
2025-05-18,ENTID_12629322,JP_708127-420004,a30VS00000701UjYAI,Opened,2025-05-18
2025-05-23,ENTID_12629322,JP_708127-420004,a30VS000007C7g2YAC,Clicked,2025-05-23
2025-04-29,ENTID_12629322,JP_708127-420004,a30VS000007C7g2YAC,Opened,2025-04-29
2025-03-20,ENTID_12629322,JP_708127-420004,a30VS000007GWFPYA4,Delivered,2025-03-20
2025-03-22,ENTID_12629322,JP_708127-420004,a30VS000007GWFPYA4,Opened,2025-03-22
